game_id,players,team,min,fgm,fga,x3pm,x3pa,ftm,fta,reb,oreb,dreb,ast,stl,blk,to,pf,pts
jcdgg9yavn4e,Allisha Gray,Lunar Owls,15,5,13,0,4,3,4,6,0,6,1,1,0,3,3,15
jcdgg9yavn4e,Skylar Diggins-Smith,Lunar Owls,11,8,17,3,8,1,3,4,1,3,1,1,1,0,5,21
jcdgg9yavn4e,Napheesa Collier,Lunar Owls,19,11,19,3,6,1,3,11,1,10,3,2,0,1,1,27
jcdgg9yavn4e,Courtney Williams,Lunar Owls,10,6,10,0,1,1,1,7,0,7,4,0,1,0,3,14
jcdgg9yavn4e,Shakira Austin,Lunar Owls,7,1,3,0,0,1,1,2,1,1,0,1,1,3,2,4
jcdgg9yavn4e,Courtney Vandersloot,Mist,8,4,7,1,2,1,1,2,0,2,2,0,0,2,3,11
jcdgg9yavn4e,Breanna Stewart,Mist,11,2,11,0,5,1,2,14,1,13,2,1,0,1,3,6
jcdgg9yavn4e,Jewell Loyd,Mist,12,10,21,4,9,4,5,5,3,2,1,0,1,3,2,30
jcdgg9yavn4e,DiJonai Carrington,Mist,11,3,6,0,2,1,1,5,0,5,3,1,1,2,3,8
jcdgg9yavn4e,Aaliyah Edwards,Mist,8,5,7,0,0,0,0,8,3,5,3,0,0,1,2,10
jcdgg9yavn4e,Rickea Jackson,Mist,12,6,15,1,3,1,1,2,1,1,1,2,0,1,2,15
jb3jklxmsrks,Rhyne Howard,Vinyl,18,10,19,6,12,3,4,6,0,6,1,1,2,1,1,33
jb3jklxmsrks,Arike Ogunbowale,Vinyl,14,5,11,0,4,0,0,1,0,1,2,1,0,1,3,10
jb3jklxmsrks,Dearica Hamby,Vinyl,13,6,12,0,1,3,4,13,2,11,4,2,2,5,5,17
jb3jklxmsrks,Aliyah Boston,Vinyl,10,3,9,0,0,0,0,7,4,3,2,1,0,1,2,6
jb3jklxmsrks,Rae Burrell,Vinyl,5,2,5,1,1,1,1,0,0,0,0,0,1,0,0,7
jb3jklxmsrks,Jordin Canada,Vinyl,9,3,7,0,3,0,0,0,0,0,1,3,0,2,1,6
jb3jklxmsrks,Kahleah Copper,Rose,16,8,15,2,5,3,4,3,1,2,1,2,0,3,3,24
jb3jklxmsrks,Angel Reese,Rose,13,3,7,0,0,2,2,14,2,12,4,0,0,5,4,10
jb3jklxmsrks,Chelsea Gray,Rose,16,8,20,2,7,2,2,9,2,7,6,2,0,3,1,21
jb3jklxmsrks,Brittney Sykes,Rose,9,4,9,1,1,0,0,0,0,0,2,0,0,0,3,9
jb3jklxmsrks,Azurá Stevens,Rose,9,3,10,0,2,0,0,8,4,4,0,0,1,0,3,6
jb3jklxmsrks,Lexie Hull,Rose,6,1,2,1,1,0,0,1,0,1,1,0,0,0,0,3
cy9e2nxmf95w,Kayla McBride,Laces,35,10,19,7,15,1,1,6,1,5,5,3,0,1,1,28
cy9e2nxmf95w,Stefanie Dolson,Laces,33,5,7,2,4,1,1,5,0,5,3,0,0,2,0,14
cy9e2nxmf95w,Alyssa Thomas,Laces,31,7,8,0,0,2,3,8,2,6,4,1,0,2,3,18
cy9e2nxmf95w,Tiffany Hayes,Laces,13,6,14,2,5,0,1,7,2,5,10,3,0,3,2,14
cy9e2nxmf95w,Kate Martin,Laces,8,4,9,1,4,0,0,10,1,9,1,2,0,1,2,9
cy9e2nxmf95w,Satou Sabally,Phantom,31,4,14,1,4,1,1,7,2,5,2,2,0,4,4,11
cy9e2nxmf95w,Sabrina Ionescu,Phantom,32,6,17,5,13,1,2,4,0,4,2,2,1,0,0,18
cy9e2nxmf95w,Brittney Griner,Phantom,33,3,7,1,2,0,2,6,0,6,0,0,1,1,1,7
cy9e2nxmf95w,Natasha Cloud,Phantom,13,4,11,2,5,0,0,3,0,3,2,0,0,4,2,10
cy9e2nxmf95w,Katie Lou Samuelson,Phantom,8,1,5,0,1,0,1,2,2,0,2,0,0,1,1,2
xagwq6rm8vw7,Kahleah Copper,Rose,13,7,13,0,2,0,1,7,1,6,1,1,0,2,1,14
xagwq6rm8vw7,Angel Reese,Rose,11,5,10,0,0,1,3,6,3,3,1,0,0,0,1,12
xagwq6rm8vw7,Chelsea Gray,Rose,13,5,9,1,2,2,2,2,0,2,6,0,0,3,1,14
xagwq6rm8vw7,Brittney Sykes,Rose,14,5,9,0,3,2,2,5,1,4,3,0,0,4,6,13
xagwq6rm8vw7,Azurá Stevens,Rose,11,7,8,2,3,1,2,4,1,3,0,1,0,1,2,17
xagwq6rm8vw7,Lexie Hull,Rose,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
xagwq6rm8vw7,Allisha Gray,Lunar Owls,16,9,15,2,6,1,2,9,1,8,1,1,0,1,3,21
xagwq6rm8vw7,Skylar Diggins-Smith,Lunar Owls,12,3,6,1,2,1,1,2,1,1,4,2,0,1,3,9
xagwq6rm8vw7,Napheesa Collier,Lunar Owls,18,14,23,1,6,2,2,6,0,6,4,1,1,1,5,31
xagwq6rm8vw7,Courtney Williams,Lunar Owls,11,4,7,2,2,0,0,1,0,1,8,1,0,2,2,10
xagwq6rm8vw7,Shakira Austin,Lunar Owls,7,3,8,0,0,1,2,3,3,0,1,1,1,0,2,8
m9sh1b3jm0p1,Satou Sabally,Phantom,14,5,9,2,4,0,1,4,1,3,3,0,0,3,3,12
m9sh1b3jm0p1,Sabrina Ionescu,Phantom,17,6,11,2,4,0,0,7,1,6,6,0,0,4,3,14
m9sh1b3jm0p1,Natasha Cloud,Phantom,15,3,8,1,6,2,2,6,0,6,2,0,0,3,2,11
m9sh1b3jm0p1,Brittney Griner,Phantom,10,5,8,0,0,2,2,5,0,5,1,0,0,1,4,13
m9sh1b3jm0p1,Natisha Hiedeman,Phantom,9,3,7,2,5,0,0,4,0,4,3,1,0,0,3,8
m9sh1b3jm0p1,Katie Lou Samuelson,Phantom,5,5,9,1,3,0,0,3,1,2,1,1,0,2,1,11
